,DATE,afghanistan,afrique du sud,algérie,allemagne,angola,arabie,argentine,australie,autriche,belgique,birmanie,bolivie,bosnieherzégovine,brésil,bulgarie,cambodge,canada,chili,chine,colombie,corée,costa rica,côte d’ivoire,croatie,cuba,danemark,égypte,émirats arabes unis,équateur,espagne,étatsunis,éthiopie,finlande,france,grèce,guatemala,haïti,honduras,hongrie,inde,indonésie,irak,iran,irlande,islande,israël,italie,jamaïque,japon,jordanie,kosovo,koweït,laos,liban,libye,maroc,mexique,monaco,nicaragua,nigéria,norvège,nouvellezélande,ouganda,pakistan,panama,palestine,paraguay,paysbas,pérou,philippines,pologne,portugal,qatar,congo,tchécoslovaquie,roumanie,royaumeuni,russie,salvador,rwanda,sénégal,serbie,singapour,slovaquie,somalie,soudan,sri lanka,suède,suisse,syrie,tadjikistan,taïwan,thaïlande,timororiental,tunisie,turquie,ukraine,uruguay,venezuela,vietnam,yémen,république tchèque,yougoslavie,urss,NbEditions
624,03/1964,0,0,2,24,0,1,2,3,4,7,1,2,0,13,0,7,788,1,47,16,7,0,0,0,23,4,0,0,0,3,2,0,3,126,10,1,1,1,1,4,1,0,2,4,0,4,18,2,12,2,0,0,7,2,1,7,22,0,0,1,5,3,1,8,18,0,2,4,0,0,4,2,0,13,4,0,3,27,4,0,0,0,1,0,1,3,0,15,14,0,0,1,1,0,0,11,1,0,3,27,0,0,1,4,26
625,04/1964,0,0,2,6,0,0,3,1,2,19,0,0,0,12,0,6,770,7,68,15,12,0,0,0,41,2,0,0,0,5,0,0,6,170,10,0,1,0,6,4,0,0,1,0,0,3,19,2,17,5,0,0,22,0,0,6,7,2,0,0,3,2,0,6,9,1,0,3,3,3,8,4,0,6,1,1,1,18,4,0,0,0,1,0,0,0,0,7,19,0,0,0,5,0,1,11,0,1,0,27,5,0,1,4,26
626,05/1964,0,0,3,14,0,3,3,2,0,18,0,1,0,14,4,37,744,3,60,11,5,0,0,0,57,5,0,0,0,5,1,0,4,145,31,1,3,0,2,8,1,1,1,2,0,12,15,0,29,1,0,0,33,0,0,5,9,3,1,1,1,2,0,10,1,2,0,5,3,2,6,4,0,10,7,2,3,12,1,0,2,0,1,0,1,0,0,28,7,0,0,1,4,0,9,17,0,1,3,45,10,0,0,5,26
627,06/1964,0,0,3,12,0,1,2,1,3,13,0,1,0,13,0,7,933,2,36,7,6,0,0,0,8,18,0,0,0,7,0,0,0,136,22,0,1,0,3,5,0,0,1,2,0,12,10,1,12,1,0,0,22,3,2,6,12,0,0,0,5,3,0,3,1,6,0,4,1,2,9,2,1,7,1,5,7,14,1,0,1,0,3,0,0,0,0,25,18,0,0,0,5,0,2,17,0,1,2,17,1,0,3,5,26
628,07/1964,1,0,3,25,0,3,0,5,7,16,1,1,0,4,2,3,685,3,58,12,6,0,0,0,24,3,0,0,0,4,1,0,2,126,27,0,0,1,9,7,0,1,2,3,0,5,15,0,8,0,0,0,14,2,0,3,25,0,0,0,4,4,2,9,1,0,0,5,1,1,20,5,0,21,1,13,9,25,2,0,1,0,0,0,1,6,0,14,19,0,0,0,0,0,2,18,1,1,2,25,0,0,4,7,27
629,08/1964,0,0,0,11,0,0,9,6,2,26,2,3,0,3,1,14,775,6,60,10,10,0,0,0,22,4,0,0,0,5,3,0,2,94,40,1,2,1,2,4,1,0,3,0,0,10,13,3,30,0,0,0,22,3,3,1,25,2,0,0,4,2,0,1,8,0,0,2,2,2,16,2,0,48,4,1,2,23,1,0,0,0,0,0,0,0,0,16,25,4,0,0,3,0,1,64,0,0,4,70,2,0,3,5,26
630,09/1964,0,0,1,10,1,1,2,0,1,13,0,9,0,6,4,1,838,29,64,7,1,0,0,2,17,5,0,0,0,6,1,0,2,133,23,0,0,1,6,14,1,0,2,14,0,10,10,0,43,4,0,0,9,0,3,3,12,4,0,1,5,6,1,2,6,2,2,2,6,2,7,2,0,34,3,0,6,11,6,0,0,0,4,0,2,1,0,14,25,0,0,0,1,0,1,22,0,0,5,13,4,0,5,5,26
631,10/1964,1,0,3,11,1,0,2,3,6,18,0,0,0,11,2,5,1010,7,100,12,8,0,0,0,20,10,0,0,0,10,1,0,3,157,14,0,1,1,5,9,1,0,11,0,0,2,19,0,47,2,0,0,4,1,0,1,23,1,1,0,4,3,0,6,1,0,0,4,3,2,5,8,0,13,5,2,9,19,0,10,0,1,1,0,1,1,0,5,18,5,0,0,1,0,2,4,2,0,2,17,0,0,2,12,27
632,11/1964,0,0,0,18,0,0,2,4,2,21,0,3,0,6,0,3,944,11,75,19,0,0,0,0,9,5,0,0,0,4,0,0,3,211,8,0,1,1,1,6,0,0,4,0,0,13,7,4,37,4,0,1,4,2,1,5,3,2,0,1,3,1,2,5,2,3,0,1,0,2,2,1,0,36,4,1,8,12,0,0,0,0,2,0,0,5,0,9,20,6,0,0,1,0,2,4,0,0,1,14,1,0,2,7,25
633,12/1964,0,0,5,19,0,0,7,5,1,30,0,3,0,12,0,6,809,4,57,9,2,0,0,0,8,7,0,0,0,7,1,0,2,161,8,0,6,1,1,17,0,0,1,1,1,3,19,0,18,7,0,3,2,4,0,11,14,0,2,0,7,1,1,3,5,2,0,3,5,0,9,3,0,72,4,4,9,25,3,0,0,0,0,0,0,12,0,14,25,2,0,0,0,0,3,3,0,0,0,17,0,0,0,7,26
